"id_condominio","tipocondominio","codlatitud","codlongitud","ciudad","totalunidades","mincuota","maxcuota","avgcuota","totalcuota_mensual","tipos"
15,Urbanización,-0.227,-78.444,Quito,186,0.00,165.00,35.5645161290322581,6615.00,Lote: 30| Casa: 156
42,Urbanización,-0.09,-80.187,Jama,115,0.00,228.62,100.3231304347826087,11537.16,Lote: 115
47,Edificio,-0.169713,-78.476977,Quito,72,41.46,151.96,73.6283333333333333,5301.24,Departamento: 72
48,Edificio,-0.178,-78.481,Quito,45,0.00,376.27,138.0628888888888889,6212.83,Local Comercial: 2| Oficina: 43
59,Edificio,-0.186,-78.481,Quito,61,3.38,460.32,132.7362295081967213,8096.91,Bodega: 1| Local Comercial: 3| Parqueadero: 3| Departamento: 54
64,Edificio,-0.1848574,-78.4792341,Quito,53,88.24,375.23,144.7150943396226415,7669.90,Local Comercial: 3| Departamento: 50
66,Edificio,-0.187,-78.472,Quito,9,83.95,259.95,162.2222222222222222,1460.00,Departamento: 9
67,Edificio,-0.181476,-78.445803,Quito,11,61.65,145.25,80.7063636363636364,887.77,Departamento: 11
69,Edificio,-0.171,-78.495,Quito,21,0.00,517.86,187.1680952380952381,3930.53,Departamento: 21
70,Edificio,-0.195,-78.479,Quito,15,153.86,803.26,462.0406666666666667,6930.61,Departamento: 15
71,Edificio,-0.192,-78.48,Quito,54,13.22,376.18,141.7740740740740741,7655.80,Parqueadero: 2| Oficina: 3| Departamento: 49
72,Edificio,-0.185512,-78.479919,Quito,66,59.53,397.17,111.6309090909090909,7367.64,Departamento: 62| Local Comercial: 4
74,Edificio,-0.188,-78.478,Quito,44,0.00,316.49,116.5038636363636364,5126.17,Local Comercial: 2| Departamento: 42
75,Edificio,-0.1823241,-78.4789344,Quito,53,55.60,171.86,86.7664150943396226,4598.62,Oficina: 53
82,Edificio,-0.192,-78.486,Quito,17,28.00,245.00,101.0994117647058824,1718.69,Oficina: 17
83,Edificio,-0.184,-78.478,Quito,30,0.00,489.36,188.2946666666666667,5648.84,Departamento: 30
84,Edificio,-0.2036343,-78.4860286,Quito,244,0.00,2045.71,104.9286065573770492,25602.58,Departamento: 36| Oficina: 207| Parqueadero: 1
86,Edificio,-0.192,-78.478,Quito,15,0.00,439.39,179.8766666666666667,2698.15,Departamento: 15
87,Edificio,-0.18,-78.481,Quito,33,0.00,211.61,150.2142424242424242,4957.07,Departamento: 31| Local Comercial: 1| Loft: 1
98,Edificio,-0.205,-78.495,Quito,165,0.00,6847.86,185.4200606060606061,30594.31,Bodega: 9| Parqueadero: 25| Local Comercial: 3| Oficina: 128
103,Edificio,-0.200233,-78.482603,Quito,31,0.00,911.72,159.0096774193548387,4929.30,Parqueadero: 2| Local Comercial: 2| Bodega: 4| Oficina: 23
105,Urbanización,-2.126,-79.866,Samborondon,41,83.45,130.00,128.8646341463414634,5283.45,Casa: 41
107,Urbanización,-0.1365121,-78.4638518,Quito,764,32.00,42.00,33.2329842931937173,25390.00,Departamento: 629| Lote: 68| Local Comercial: 6| Casa: 61
119,Edificio,-0.185142,-78.479935,Quito,37,102.40,328.93,174.5591891891891892,6458.69,Departamento: 34| Local Comercial: 3
120,Edificio,-0.184,-78.481,Quito,41,5.25,289.54,142.9458536585365854,5860.78,Bodega: 1| Departamento: 38| Local Comercial: 2
121,Urbanización,-2.159,-80.788,Samborondon,15,66.00,131.00,102.5333333333333333,1538.00,Departamento: 15
